name,birthday,nationality
Tom Hanks,1956-07-09,USA
Wagner Moura,1976-06-27,BRAZIL
Denzel Washington,1954-12-28,USA
Fernanda Montenegro,1929-10-16,BRAZIL
Leonardo DiCaprio,1974-11-11,USA
Gloria Pires,1963-08-23,BRAZIL
Brad Pitt,1963-12-18,USA
Julia Roberts,1967-10-28,USA
Cate Blanchett,1969-05-14,USA
Rodrigo Santoro,1975-08-22,BRAZIL
Meryl Streep,1949-06-22,USA
